"","X","Age","Class","Flight.Distance","Inflight.wifi.service","Departure.Arrival.time.convenient","Ease.of.Online.booking","Gate.location","Food.and.drink","Online.boarding","Seat.comfort","Inflight.entertainment","On.board.service","Leg.room.service","Baggage.handling","Checkin.service","Inflight.service","Cleanliness","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","Male","Loyal.Customer","Business.travel","satisfied"
"5958",5958,55,2,1974,4,4,3,4,2,5,5,4,4,4,4,5,4,3,0,0,0,1,1,1
"5959",5959,47,0,483,2,5,2,3,1,3,5,3,3,2,3,2,3,1,0,0,0,1,0,0
"5960",5960,36,0,599,4,3,3,3,4,4,4,4,4,1,2,1,1,4,0,0,0,1,1,1
"5961",5961,35,0,997,1,3,3,3,1,1,1,1,3,3,4,1,4,1,27,22,1,1,1,0
"5962",5962,39,2,3398,2,1,4,1,4,3,3,2,2,2,2,1,2,3,0,0,0,1,1,0
"5963",5963,49,0,163,4,4,4,4,3,4,5,3,5,5,4,3,5,3,0,0,1,1,0,1
"5964",5964,25,0,1310,3,3,3,3,1,3,1,1,1,4,3,2,3,1,10,0,0,0,1,0
"5965",5965,49,0,2153,2,4,2,3,3,5,5,2,2,2,3,4,2,3,2,0,0,1,0,0
"5966",5966,23,0,108,2,5,1,2,2,1,2,2,4,2,4,5,2,2,0,0,0,0,1,0
"5967",5967,62,0,594,4,2,4,3,4,4,4,4,4,1,3,1,4,4,105,92,1,1,0,0
"5968",5968,53,2,1448,4,4,4,4,1,5,4,3,3,3,3,5,3,3,2,0,1,1,1,1
"5969",5969,48,2,1590,2,2,2,2,3,3,4,3,3,3,3,4,3,4,0,0,0,1,1,1
"5970",5970,57,0,1065,1,4,1,1,4,1,4,4,4,3,4,5,5,4,42,23,1,1,0,0
"5971",5971,53,2,395,4,4,4,4,3,3,3,5,4,4,4,3,4,3,187,217,0,1,1,1
"5972",5972,48,0,312,4,2,4,3,2,4,4,2,2,4,2,3,2,2,0,0,0,1,0,0
"5973",5973,80,2,209,4,4,4,4,5,3,4,1,1,4,1,4,1,4,5,2,0,0,1,0
"5974",5974,61,0,148,4,1,1,1,4,4,4,4,1,3,1,4,3,4,0,4,1,1,1,1
"5975",5975,41,2,1242,4,4,4,3,2,4,2,2,3,2,5,5,5,2,0,0,0,0,1,1
"5976",5976,24,0,588,3,1,2,3,5,2,3,5,4,3,2,3,3,5,0,0,0,0,1,0
"5977",5977,46,0,908,4,4,4,3,3,4,3,3,5,4,5,2,5,3,37,46,1,0,1,0
"5978",5978,36,2,3166,0,0,0,5,2,5,4,1,1,1,1,3,1,3,0,7,0,1,1,1
"5979",5979,66,0,1626,3,4,3,3,2,3,5,5,5,3,5,4,5,5,0,0,0,1,0,0
"5980",5980,38,0,1005,3,4,3,3,2,3,2,2,4,3,5,5,5,2,0,0,0,1,0,0
"5981",5981,40,0,1438,3,2,2,2,3,3,3,3,4,1,4,3,3,3,17,48,1,1,1,0
"5982",5982,41,0,957,4,5,5,2,4,5,4,4,3,3,4,3,5,4,0,0,1,1,0,0
"5983",5983,30,0,337,3,4,3,3,5,3,5,5,3,3,5,4,4,5,34,15,0,1,0,0
"5984",5984,50,0,994,3,2,3,3,3,3,3,3,1,1,4,3,4,3,13,7,1,1,1,0
"5985",5985,32,0,163,4,1,1,1,4,4,4,4,1,1,3,2,2,4,0,0,0,1,1,1
"5986",5986,34,2,197,4,4,5,4,2,5,4,5,5,5,4,5,5,5,0,0,0,1,1,1
"5987",5987,41,2,1846,2,2,2,2,5,5,5,5,5,5,5,5,5,4,0,0,1,1,1,1
"5988",5988,52,1,452,2,5,2,3,4,1,1,5,5,2,5,2,5,5,4,0,0,1,0,0
"5989",5989,70,0,577,2,4,2,4,4,2,4,4,5,2,5,5,5,4,0,0,1,1,0,0
"5990",5990,24,1,166,3,5,3,3,1,3,1,1,3,3,5,5,5,1,5,4,0,1,0,0
"5991",5991,37,0,812,3,1,3,4,5,3,2,5,2,1,3,1,3,5,27,38,1,1,0,0
"5992",5992,48,2,1678,2,2,1,1,2,2,2,2,2,2,2,1,2,1,88,85,1,1,1,0
"5993",5993,69,1,590,3,4,3,2,5,4,5,3,3,3,1,3,3,4,0,0,0,1,0,0
"5994",5994,36,0,964,4,1,3,1,4,3,4,4,4,3,3,2,3,4,0,5,1,1,1,0
"5995",5995,17,2,2611,4,5,4,1,4,1,1,4,3,5,5,1,3,1,0,0,0,1,0,0
"5996",5996,58,2,370,4,4,4,3,5,4,5,5,5,2,5,5,4,5,4,6,1,0,1,0
"5997",5997,66,1,323,4,4,4,4,5,4,5,5,2,5,4,2,3,5,0,6,1,1,1,1
"5998",5998,61,1,399,2,4,5,4,3,3,3,2,2,2,2,3,2,4,0,0,0,1,1,0
"5999",5999,61,2,414,4,4,4,1,1,4,1,1,4,4,5,4,5,1,6,18,0,0,1,1
"6000",6000,59,0,692,5,2,3,3,1,5,1,4,4,5,4,3,4,5,0,0,0,1,1,1
"6001",6001,67,0,101,3,5,3,3,3,3,3,3,4,5,4,3,3,3,0,0,1,1,1,0
"6002",6002,26,2,163,5,5,4,5,5,5,3,5,2,3,5,3,5,5,0,0,0,1,1,1
"6003",6003,28,0,936,4,4,4,3,5,4,2,5,5,5,4,5,5,5,0,0,0,1,0,0
"6004",6004,27,2,1624,5,5,5,5,3,3,3,3,3,4,4,3,5,3,35,27,0,1,1,1
"6005",6005,42,2,2590,5,5,5,5,1,1,4,3,3,4,3,2,3,3,0,0,1,1,1,1
"6006",6006,23,0,158,4,5,4,1,4,4,4,4,3,2,4,4,4,4,0,0,1,1,0,0
"6007",6007,62,1,1237,3,4,3,3,1,3,1,1,3,2,4,3,5,1,0,3,1,1,0,0
"6008",6008,39,0,550,2,4,2,3,2,2,2,2,4,5,3,4,4,2,75,57,1,0,1,0
"6009",6009,40,2,3456,1,4,4,4,3,3,3,1,1,1,1,3,1,1,0,0,0,1,1,0
"6010",6010,40,2,404,5,5,5,5,2,4,5,3,3,3,3,3,3,3,9,0,0,1,1,1
"6011",6011,37,0,509,4,2,2,2,4,4,4,4,4,2,2,4,5,4,0,0,0,1,1,1
"6012",6012,30,1,760,4,1,1,1,4,3,4,4,2,4,4,2,3,4,8,12,0,1,1,0
"6013",6013,12,0,693,4,5,4,2,2,4,2,2,3,2,4,4,4,2,18,65,0,1,0,0
"6014",6014,55,2,259,3,3,4,3,2,3,5,5,5,5,5,1,5,2,0,0,1,1,1,1
"6015",6015,45,2,2761,3,3,3,3,4,5,5,5,5,4,5,3,5,3,0,0,0,1,1,1
"6016",6016,43,0,526,2,3,3,3,2,2,2,2,4,5,3,1,3,2,14,8,1,1,1,0
"6017",6017,11,1,650,2,1,2,2,3,2,3,3,4,1,2,4,1,3,0,0,0,1,0,0
"6018",6018,21,0,335,4,4,4,3,5,4,5,5,4,3,4,5,5,5,0,0,0,0,1,0
"6019",6019,22,0,484,3,1,3,4,3,2,2,4,3,4,3,2,2,2,243,224,1,0,1,0
"6020",6020,38,0,204,2,5,2,3,5,2,5,5,2,4,5,4,1,5,69,82,0,1,0,0
"6021",6021,7,0,528,3,5,3,1,1,3,1,1,3,2,4,4,5,1,0,0,1,1,0,0
"6022",6022,22,0,546,4,0,4,5,4,4,4,4,4,3,4,3,4,4,0,0,0,0,1,0
"6023",6023,48,0,738,2,1,1,1,2,2,2,2,2,5,3,1,4,2,0,0,1,1,1,0
"6024",6024,48,0,1616,2,3,3,3,4,2,3,2,2,2,2,2,2,1,0,0,0,1,1,0
"6025",6025,40,0,689,1,3,3,3,1,1,1,1,3,3,4,4,3,1,0,0,1,1,1,0
"6026",6026,17,0,1052,1,4,0,1,2,0,2,2,3,4,5,5,5,2,0,4,0,1,0,0
"6027",6027,33,0,125,5,3,3,3,5,4,5,5,3,4,4,3,4,5,25,16,0,1,1,0
"6028",6028,16,0,479,3,4,3,3,3,5,4,4,5,4,3,4,2,4,123,149,0,0,1,0
"6029",6029,36,2,2989,1,1,1,1,4,4,5,5,5,5,5,5,5,3,0,0,1,1,1,1
"6030",6030,18,0,549,3,0,3,3,5,3,5,5,3,4,5,1,5,5,0,2,1,1,0,0
"6031",6031,54,2,1709,1,1,1,1,4,3,4,4,4,4,4,5,4,5,9,10,0,1,1,1
"6032",6032,58,2,3897,2,3,3,3,4,4,3,3,3,3,2,3,3,3,0,0,1,1,1,0
"6033",6033,11,0,2405,2,2,2,3,2,2,2,2,3,5,4,2,3,2,3,0,0,1,0,0
"6034",6034,21,0,541,2,0,2,1,4,2,4,4,5,5,4,2,4,4,0,0,1,0,1,0
"6035",6035,8,0,666,1,1,1,3,3,1,3,3,1,1,3,4,4,3,112,126,0,0,1,0
"6036",6036,62,2,590,4,5,5,5,3,2,3,4,4,4,4,2,4,4,36,44,0,1,1,0
"6037",6037,31,2,2393,3,3,3,3,5,5,5,5,5,3,5,3,4,5,0,0,1,1,1,1
"6038",6038,66,0,2777,3,3,4,3,4,1,2,4,3,3,4,2,1,2,52,68,0,1,0,0
"6039",6039,25,2,354,4,0,4,2,5,4,5,5,4,1,3,4,1,5,0,0,1,0,1,1
"6040",6040,58,1,545,4,3,4,1,4,3,5,1,1,4,1,4,1,1,0,40,0,1,0,0
"6041",6041,48,2,956,4,4,4,4,1,2,3,5,5,5,5,4,5,4,7,0,0,1,1,1
"6042",6042,8,0,641,1,4,1,1,2,1,2,2,4,2,4,3,4,2,18,5,1,1,0,0
"6043",6043,39,2,2647,1,1,1,1,3,4,5,5,5,5,5,4,5,5,0,5,1,1,1,1
"6044",6044,43,2,426,5,5,5,5,5,4,4,5,5,5,5,4,5,5,1,0,1,1,1,1
"6045",6045,18,0,214,3,3,3,3,2,3,2,2,4,3,3,1,3,2,0,0,1,1,0,0
"6046",6046,55,0,488,2,4,4,3,1,2,4,3,3,4,3,1,3,4,0,0,0,1,0,0
"6047",6047,29,0,2296,2,2,2,3,3,2,4,3,2,4,4,2,4,3,0,2,1,0,1,0
"6048",6048,29,0,1132,3,3,3,5,5,3,5,5,1,1,4,2,1,5,2,0,0,0,1,0
"6049",6049,58,2,425,4,4,4,5,2,4,2,2,3,5,4,4,4,2,0,13,1,0,1,1
"6050",6050,21,0,1235,5,5,5,1,4,5,4,4,4,3,4,3,5,4,0,0,1,0,1,1
"6051",6051,54,0,258,2,4,0,3,5,2,2,5,5,0,5,1,5,2,7,0,0,1,0,0
"6052",6052,17,0,472,1,3,1,1,1,1,1,1,2,2,1,4,2,1,0,0,0,1,0,0
"6053",6053,22,0,679,3,3,3,3,4,3,4,4,1,5,3,3,3,4,0,0,0,0,1,0
"6054",6054,53,2,2329,3,3,3,3,3,4,4,4,4,5,4,3,4,5,0,0,0,1,1,1
"6055",6055,26,2,519,2,2,2,2,3,2,3,3,3,3,5,4,4,3,29,23,1,0,1,0
"6056",6056,54,2,141,4,3,4,4,5,5,4,5,5,5,4,3,5,3,0,0,0,1,1,1
"6057",6057,32,2,2227,4,2,2,2,4,4,4,4,3,2,4,3,3,4,17,0,1,1,1,0
"6058",6058,17,0,2295,2,3,2,3,4,2,4,4,2,3,2,4,2,4,3,0,1,1,0,0
"6059",6059,19,0,719,3,4,3,3,1,3,1,1,1,5,2,2,1,1,0,0,1,1,0,0
"6060",6060,44,2,247,1,1,4,1,1,3,4,1,1,1,1,3,1,3,19,20,1,1,1,0
"6061",6061,22,0,201,3,3,3,2,4,3,4,4,4,3,2,2,3,4,0,0,1,0,1,0
"6062",6062,68,0,533,1,5,1,3,4,1,4,4,3,4,5,4,5,4,7,5,1,1,0,0
"6063",6063,34,0,721,4,4,4,4,3,4,3,3,1,5,5,4,3,3,17,16,1,0,1,0
"6064",6064,43,2,2402,2,2,2,2,2,5,5,5,5,5,5,4,5,3,0,0,1,1,1,1
"6065",6065,26,2,3711,3,3,3,2,3,3,3,1,2,1,3,3,4,3,0,43,1,0,1,0
"6066",6066,48,2,2582,0,0,0,3,1,1,2,4,4,4,4,5,4,1,0,0,0,1,1,1
"6067",6067,60,0,406,4,4,4,4,1,4,1,1,5,3,5,4,4,1,0,0,1,1,0,1
"6068",6068,45,0,749,2,4,2,2,1,2,1,1,5,2,5,5,5,1,23,5,1,1,0,0
"6069",6069,22,0,332,1,4,1,2,5,1,5,5,4,1,1,5,4,5,0,0,1,0,1,0
"6070",6070,68,1,469,3,4,3,5,3,4,4,5,5,3,5,4,5,5,0,0,0,1,0,0
"6071",6071,44,2,1768,4,2,2,2,4,4,4,2,2,2,4,2,2,1,0,0,0,1,1,0
"6072",6072,51,0,630,2,3,2,2,1,2,1,1,2,3,2,1,2,1,16,13,1,1,0,0
"6073",6073,31,2,3594,3,3,3,3,4,4,5,4,5,3,5,3,4,4,15,23,0,1,1,1
"6074",6074,32,2,3785,1,4,4,4,1,1,1,1,2,3,3,3,4,1,0,0,0,1,1,0
"6075",6075,29,2,1216,1,5,4,5,1,2,1,1,1,5,3,4,3,1,0,0,1,1,1,0
"6076",6076,43,2,1399,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,32,1,1,1,1
"6077",6077,22,0,524,3,0,3,4,5,3,5,5,2,5,3,3,5,5,8,10,1,0,1,0
"6078",6078,31,2,3531,2,4,4,4,2,2,2,2,1,1,3,3,3,2,44,30,1,1,1,0
"6079",6079,55,2,3329,4,4,4,4,3,4,5,4,4,4,5,4,4,3,2,0,0,1,1,1
"6080",6080,47,2,2390,5,5,5,5,2,4,4,5,5,5,5,5,5,4,5,0,0,1,1,1
"6081",6081,26,0,1050,3,3,3,3,1,3,1,1,4,3,3,2,2,1,0,0,1,0,1,0
"6082",6082,19,1,1012,3,1,3,4,2,3,2,2,1,1,3,4,4,2,0,0,1,1,0,0
"6083",6083,40,2,2060,1,1,1,1,5,5,4,4,4,4,4,4,4,4,0,0,0,1,1,1
"6084",6084,22,0,507,2,1,2,2,4,2,4,4,3,5,3,4,2,4,7,5,1,0,1,0
"6085",6085,20,0,1222,3,3,3,3,4,3,4,4,3,5,3,4,3,4,0,0,1,1,0,0
"6086",6086,15,0,763,1,4,1,2,5,1,5,5,2,5,4,2,3,5,0,3,1,1,0,0
"6087",6087,38,2,1546,1,1,1,1,5,4,5,4,4,4,4,4,4,3,7,16,0,1,1,1
"6088",6088,44,1,667,4,4,5,3,5,4,5,3,3,5,3,3,3,3,7,0,0,1,0,0
"6089",6089,23,2,1516,5,5,3,5,5,5,5,5,4,5,4,3,4,5,0,0,1,1,1,1
"6090",6090,63,0,600,1,1,1,3,1,3,2,3,3,1,3,3,3,2,0,0,0,1,0,0
"6091",6091,43,0,270,1,3,0,4,3,3,3,2,2,0,1,3,2,4,0,0,0,1,0,0
"6092",6092,58,2,666,4,4,4,4,2,4,4,4,4,4,4,3,4,3,0,0,1,1,1,1
"6093",6093,10,0,1189,2,4,2,3,5,2,5,5,3,3,3,4,5,5,14,5,0,1,0,0
"6094",6094,69,0,337,1,4,1,4,4,1,4,4,2,4,3,2,4,4,8,17,1,1,0,0
"6095",6095,48,2,1187,1,1,1,1,2,1,3,2,5,5,4,4,4,2,0,0,1,0,1,0
"6096",6096,50,0,177,3,1,3,4,3,4,4,1,1,3,1,1,1,4,18,33,0,1,0,0
"6097",6097,46,2,3557,1,1,1,1,3,5,4,4,4,4,4,3,4,4,4,0,0,1,1,1
"6098",6098,54,2,607,5,5,5,5,5,4,4,4,4,4,4,3,4,4,2,0,0,1,1,1
"6099",6099,33,2,3845,0,0,0,1,2,5,5,1,1,1,1,5,1,3,27,38,0,1,1,1
"6100",6100,42,2,3923,1,1,1,1,4,3,3,2,2,2,2,3,2,1,0,1,0,1,1,1
"6101",6101,39,2,3311,5,5,5,5,2,5,5,5,5,5,5,3,5,4,0,0,1,1,1,1
"6102",6102,24,0,1312,3,3,3,4,3,1,1,2,4,2,4,1,4,1,145,147,0,0,1,0
"6103",6103,60,2,1956,1,1,1,1,2,5,4,5,5,5,5,3,5,3,0,0,1,1,1,1
"6104",6104,46,2,2883,2,2,2,2,5,5,5,5,5,5,5,5,5,4,7,29,1,1,1,1
"6105",6105,33,1,1749,2,3,3,3,2,2,2,2,3,2,4,2,4,2,47,32,0,1,1,0
"6106",6106,54,2,479,4,4,4,4,2,5,5,4,4,4,4,5,4,5,26,20,1,1,1,1
"6107",6107,20,0,152,4,0,4,5,2,4,2,2,4,5,4,3,5,2,0,0,1,0,1,1
"6108",6108,59,2,3812,4,4,4,4,5,4,4,4,4,4,4,3,4,5,84,72,0,1,1,1
"6109",6109,44,2,2067,3,3,3,3,5,4,4,2,2,2,2,5,2,5,0,6,1,1,1,1
"6110",6110,51,2,2298,2,4,5,5,3,4,3,2,2,2,2,2,2,2,0,25,1,1,1,0
"6111",6111,56,2,3207,1,2,2,2,1,1,1,2,2,4,4,1,1,1,162,165,0,1,1,0
"6112",6112,30,2,546,4,4,4,4,4,4,4,4,1,5,3,3,4,4,0,0,1,1,1,0
"6113",6113,58,2,1731,4,4,4,4,3,5,5,5,5,5,5,5,5,5,0,0,0,1,1,1
"6114",6114,29,2,3075,0,0,0,4,3,3,3,3,5,4,5,5,5,3,0,0,1,1,1,1
"6115",6115,45,0,1102,4,3,4,3,4,4,4,4,5,1,1,4,5,4,3,4,1,1,1,1
"6116",6116,37,2,2244,1,1,2,1,4,4,5,4,4,4,4,3,4,4,1,5,1,1,1,1
"6117",6117,46,1,692,1,5,0,4,5,5,4,1,1,0,1,5,1,5,0,0,0,1,0,0
"6118",6118,24,0,1246,1,1,1,3,4,1,4,4,4,4,5,4,5,4,81,74,1,0,1,0
"6119",6119,64,0,271,3,0,2,3,4,2,4,4,3,5,3,4,4,4,0,0,1,1,0,0
"6120",6120,46,2,1661,4,4,3,4,3,5,5,5,5,4,5,3,5,4,26,0,0,1,1,1
"6121",6121,37,2,1866,2,2,2,2,2,1,1,4,4,4,4,2,4,1,7,0,0,1,1,1
"6122",6122,45,0,944,4,2,2,2,4,4,4,4,1,3,3,5,5,4,0,10,1,1,1,1
"6123",6123,44,2,1096,4,4,4,4,5,5,4,4,4,4,4,5,4,3,51,47,0,1,1,1
"6124",6124,41,2,731,4,4,2,4,3,4,5,5,5,4,5,4,5,4,6,16,0,1,1,1
"6125",6125,30,0,372,3,4,3,4,1,3,1,1,1,5,2,1,3,1,0,0,1,1,0,0
"6126",6126,51,2,1749,2,2,2,2,5,3,5,4,4,4,4,3,4,3,0,0,1,1,1,1
"6127",6127,53,0,1304,1,5,1,1,4,1,4,4,3,4,5,3,4,4,0,0,1,1,0,0
"6128",6128,35,0,1546,3,3,3,3,3,3,3,3,4,3,4,1,4,3,42,37,1,1,0,0
"6129",6129,46,0,307,4,3,4,3,5,3,5,1,1,4,1,2,1,2,0,0,0,1,0,0
"6130",6130,40,0,882,1,5,1,5,2,1,5,2,4,5,2,5,2,2,33,21,1,1,0,0
"6131",6131,32,0,848,2,1,1,2,1,1,1,1,5,2,1,5,4,1,0,0,1,0,1,0
"6132",6132,55,2,3268,1,1,5,1,2,5,4,4,4,4,4,3,4,5,0,0,1,1,1,1
"6133",6133,53,0,113,3,4,3,5,3,1,3,3,1,2,1,3,3,3,162,186,1,1,0,0
"6134",6134,17,1,577,3,4,4,4,3,3,2,3,4,2,3,4,3,3,10,4,0,1,1,0
"6135",6135,54,2,3871,3,4,4,4,3,3,3,3,3,3,3,2,3,3,0,0,0,1,1,0
"6136",6136,54,0,802,2,4,2,1,4,2,4,4,5,3,1,1,4,4,4,12,1,1,0,0
"6137",6137,21,0,588,0,0,0,2,3,0,3,3,3,4,1,2,5,3,0,0,0,0,1,1
"6138",6138,32,0,251,2,2,2,3,5,2,5,5,2,4,4,1,4,5,27,29,0,1,0,0
"6139",6139,53,2,2299,5,5,5,5,4,2,1,4,4,4,4,1,4,4,8,5,0,1,1,1
"6140",6140,57,0,612,1,4,0,1,4,5,5,2,2,0,2,3,2,3,0,1,0,1,0,0
"6141",6141,27,2,925,2,2,2,2,5,5,5,5,4,3,3,5,2,5,0,0,1,1,1,1
"6142",6142,14,2,373,3,1,0,3,2,0,5,2,3,1,4,2,3,2,0,0,0,1,0,0
"6143",6143,9,0,192,1,5,1,4,3,1,3,3,4,5,5,4,5,3,22,26,1,1,0,0
"6144",6144,13,0,639,4,3,3,2,2,3,2,2,2,4,2,2,3,2,60,55,1,1,0,0
"6145",6145,70,2,631,1,2,1,3,4,3,3,1,1,1,1,3,1,4,0,0,1,1,0,0
"6146",6146,40,1,228,4,2,2,2,4,4,4,4,3,2,3,5,4,4,0,0,1,1,1,1
"6147",6147,46,2,3030,1,1,1,1,5,4,4,5,5,5,5,4,5,4,20,8,0,1,1,1
"6148",6148,53,0,2611,2,5,2,4,2,3,3,2,4,3,3,3,2,3,7,0,0,1,0,0
"6149",6149,58,0,594,1,2,1,4,1,4,4,1,1,1,1,4,1,3,7,0,0,1,0,0
"6150",6150,25,2,1199,3,4,3,3,5,3,5,5,4,3,4,5,4,5,0,0,0,0,1,0
"6151",6151,49,2,850,5,5,5,5,5,4,4,2,2,3,2,5,2,3,0,0,1,1,1,1
"6152",6152,41,2,1045,3,3,3,3,4,5,5,5,5,5,5,4,5,3,61,65,1,1,1,1
"6153",6153,46,0,602,4,4,4,1,3,5,5,1,1,4,1,3,1,5,2,0,0,1,0,0
"6154",6154,45,2,999,5,5,5,5,3,5,5,4,4,4,4,3,4,3,38,41,0,1,1,1
"6155",6155,59,2,723,5,5,5,5,2,5,4,4,4,4,4,3,4,4,7,0,0,1,1,1
"6156",6156,23,0,967,4,4,4,3,3,4,3,3,4,5,4,4,5,3,2,0,0,0,1,1
"6157",6157,41,2,998,4,4,4,4,5,5,4,4,4,4,4,5,4,5,0,3,0,1,1,1
"6158",6158,17,0,1048,1,4,1,3,5,1,2,5,5,3,4,4,5,5,0,0,1,1,0,0
"6159",6159,36,2,383,3,3,3,1,5,3,5,5,3,5,5,3,5,5,14,34,0,0,1,0
"6160",6160,38,2,239,0,0,0,3,3,4,5,4,4,4,4,3,4,3,0,0,1,1,1,1
"6161",6161,44,2,3249,5,5,4,5,5,4,4,4,4,5,4,3,4,5,2,0,1,1,1,1
"6162",6162,48,0,1013,2,5,5,5,2,2,2,2,1,2,3,4,4,2,30,57,1,1,1,0
"6163",6163,41,2,130,3,4,4,4,5,4,3,2,2,1,3,3,2,2,0,0,1,1,1,0
"6164",6164,43,2,1068,1,1,1,1,3,4,4,5,5,4,5,5,5,5,0,0,0,1,1,1
"6165",6165,48,2,1645,2,2,2,2,4,5,5,5,5,5,5,3,5,3,0,0,1,1,1,1
"6166",6166,28,0,156,4,1,4,2,1,4,1,1,5,5,1,1,2,1,1,0,1,0,1,1
"6167",6167,54,2,3743,2,2,2,2,2,4,4,3,3,4,3,5,3,4,0,1,0,1,1,1
"6168",6168,39,2,3031,1,0,0,3,3,2,3,4,4,0,1,4,4,4,18,62,1,1,1,0
"6169",6169,63,0,1035,4,4,4,3,5,4,4,3,3,4,4,3,3,3,0,7,0,1,0,0
"6170",6170,46,0,973,3,2,2,2,3,3,3,3,3,4,4,4,4,3,83,73,1,1,1,0
"6171",6171,43,2,2521,2,2,2,2,4,4,4,3,2,4,5,4,3,4,11,25,0,1,1,1
"6172",6172,23,0,1744,4,1,4,3,4,4,4,4,2,2,2,4,2,4,0,9,1,1,0,0
"6173",6173,45,2,2521,4,4,4,4,5,4,2,4,4,5,4,3,4,3,118,98,1,1,1,1
"6174",6174,13,2,896,2,4,2,3,2,5,5,3,3,5,4,5,5,5,197,182,1,1,0,0
"6175",6175,38,0,190,2,5,2,5,1,2,1,1,4,1,3,1,1,1,0,1,1,1,0,0
"6176",6176,43,0,588,4,0,4,3,4,4,4,4,1,4,5,2,1,4,0,0,1,0,1,0
"6177",6177,43,2,2512,2,4,4,4,4,3,4,2,2,2,2,4,2,4,0,0,0,1,1,0
"6178",6178,35,0,862,2,2,2,2,1,2,1,1,2,3,1,1,2,1,0,0,1,0,1,0
"6179",6179,39,2,2588,1,5,5,5,1,1,1,2,1,4,3,1,2,1,0,0,0,1,1,0
"6180",6180,51,2,223,5,5,5,5,4,4,4,5,5,4,4,4,5,5,8,4,1,1,1,1
"6181",6181,52,0,325,1,5,1,4,2,3,2,2,2,1,2,1,2,2,63,56,0,1,0,0
"6182",6182,22,0,853,2,5,2,4,4,2,4,4,3,5,4,3,4,4,1,7,0,1,0,0
"6183",6183,35,0,344,3,1,3,2,5,3,5,5,1,1,2,1,1,5,0,0,1,1,0,0
"6184",6184,27,2,3153,2,2,2,2,5,5,5,5,4,1,2,5,5,5,99,77,0,1,1,1
"6185",6185,25,0,395,4,4,4,2,2,4,2,2,3,2,2,4,5,2,0,0,0,1,0,0
"6186",6186,56,2,368,2,5,5,5,5,3,3,2,2,2,2,2,2,2,35,36,0,1,1,0
"6187",6187,33,0,565,2,5,2,2,4,2,4,4,3,4,4,4,5,4,49,45,0,1,0,0
"6188",6188,21,0,1440,5,4,4,1,3,5,3,3,5,3,4,5,4,3,0,0,1,0,1,1
"6189",6189,24,2,776,4,0,4,3,1,4,1,1,5,4,4,3,5,1,0,0,1,0,1,1
"6190",6190,68,0,197,1,3,1,3,1,2,2,4,4,1,2,3,4,4,10,0,0,1,0,0
"6191",6191,25,2,895,4,0,4,2,1,4,3,1,3,5,4,3,5,1,0,0,0,0,1,0
"6192",6192,23,2,2895,2,4,5,5,2,2,2,2,4,3,4,1,3,2,0,0,0,1,1,0
"6193",6193,31,0,1117,2,3,2,3,1,2,1,1,1,1,3,3,4,1,0,0,1,1,0,0
"6194",6194,43,0,362,2,5,5,3,2,5,4,2,5,5,4,3,5,2,0,0,1,1,0,0
"6195",6195,39,2,1845,4,2,4,4,5,4,4,5,5,4,4,5,5,5,0,0,1,1,1,1
"6196",6196,50,0,547,3,2,3,2,4,3,4,4,3,3,2,4,3,4,0,0,0,0,1,0
"6197",6197,47,2,3681,2,2,2,2,4,5,4,5,5,5,5,3,5,4,0,11,0,1,1,1
"6198",6198,27,2,1501,4,4,4,3,2,4,2,2,5,4,4,3,4,2,0,0,1,0,1,1
"6199",6199,54,2,3933,1,1,4,1,3,5,4,4,4,4,4,3,4,4,0,0,0,1,1,1
"6200",6200,28,2,429,3,3,2,3,5,5,5,5,4,2,5,5,5,5,2,0,0,1,1,1
"6201",6201,36,0,468,1,4,1,3,5,1,1,5,1,1,4,3,4,5,0,0,0,1,0,0
"6202",6202,36,0,951,2,4,2,4,2,1,5,1,2,5,5,5,4,5,222,223,0,1,0,0
"6203",6203,8,0,985,3,5,3,4,1,3,1,1,3,2,5,4,4,1,0,0,0,1,0,0
"6204",6204,64,2,261,3,4,4,4,2,3,2,2,5,5,4,3,4,2,0,0,0,0,1,0
"6205",6205,29,2,731,2,2,2,2,4,4,4,4,5,3,5,4,5,4,0,0,0,1,1,1
"6206",6206,24,0,781,3,5,3,3,4,3,4,4,4,5,4,3,4,4,0,0,1,1,0,0
"6207",6207,18,0,326,3,1,3,3,2,3,2,2,3,3,3,4,4,2,0,0,0,1,0,0
"6208",6208,23,0,927,3,3,3,3,1,3,1,1,5,5,5,5,4,1,22,8,0,0,1,0
"6209",6209,49,2,2024,1,1,1,1,3,4,1,5,5,5,5,1,5,2,5,0,1,1,1,1
"6210",6210,28,2,3832,4,4,4,4,4,4,4,4,4,4,3,2,3,4,60,40,1,1,1,0
"6211",6211,15,0,157,3,4,0,3,4,0,4,4,2,2,4,3,4,4,0,0,0,1,0,0
"6212",6212,9,2,2890,3,3,5,3,4,4,4,4,3,5,5,3,4,4,0,3,0,1,1,1
"6213",6213,26,0,761,3,3,3,3,5,3,1,5,3,1,3,1,3,5,50,69,0,0,1,0
"6214",6214,28,0,471,2,5,2,4,2,2,2,2,5,2,4,4,4,2,21,28,1,1,0,0
"6215",6215,40,2,147,5,5,5,5,1,4,2,4,4,4,5,3,4,3,4,0,1,1,1,1
